"","plec","edukacja","wiek","waga","rok"
"73","kobieta","średnie","45-59 lat",514.874953747136,"2003"
"74","kobieta","średnie","60-64 lata",83.212425184,"2003"
"75","kobieta","średnie","65+ lat",198.7285778,"2003"
"76","kobieta","wyższe i policealne","25-34 lata",310.344579756,"2003"
"77","kobieta","wyższe i policealne","35-44 lata",166.9158316,"2003"
"78","kobieta","wyższe i policealne","45-59 lat",256.820083968,"2003"
"79","kobieta","wyższe i policealne","60-64 lata",36.034188048,"2003"
"80","kobieta","wyższe i policealne","65+ lat",68.004293936,"2003"
"81","mężczyzna","podstawowe i niższe","25-34 lata",62.6360590472217,"2005"
"82","mężczyzna","podstawowe i niższe","35-44 lata",65.1409423190243,"2005"
"83","mężczyzna","podstawowe i niższe","45-59 lat",153.237111756662,"2005"
"84","mężczyzna","podstawowe i niższe","60-64 lata",59.9924614977072,"2005"
"85","mężczyzna","podstawowe i niższe","65+ lat",242.259024536972,"2005"
"86","mężczyzna","zasadnicze zawodowe/gimanzjum","25-34 lata",293.073837396272,"2005"
"87","mężczyzna","zasadnicze zawodowe/gimanzjum","35-44 lata",304.960819832658,"2005"
"88","mężczyzna","zasadnicze zawodowe/gimanzjum","45-59 lat",473.15333176997,"2005"
"89","mężczyzna","zasadnicze zawodowe/gimanzjum","60-64 lata",45.585776220354,"2005"
"90","mężczyzna","zasadnicze zawodowe/gimanzjum","65+ lat",98.1302979237563,"2005"
"91","mężczyzna","średnie","25-34 lata",236.509752471814,"2005"
"92","mężczyzna","średnie","35-44 lata",192.278096820867,"2005"
"93","mężczyzna","średnie","45-59 lat",310.365363949017,"2005"
"94","mężczyzna","średnie","60-64 lata",50.5976204904781,"2005"
"95","mężczyzna","średnie","65+ lat",110.086295966849,"2005"
"96","mężczyzna","wyższe i policealne","25-34 lata",193.29358773611,"2005"
"97","mężczyzna","wyższe i policealne","35-44 lata",90.6072417456052,"2005"
"98","mężczyzna","wyższe i policealne","45-59 lat",147.221396233527,"2005"
"99","mężczyzna","wyższe i policealne","60-64 lata",21.8200442705973,"2005"
"100","mężczyzna","wyższe i policealne","65+ lat",76.3743975463218,"2005"
"101","kobieta","podstawowe i niższe","25-34 lata",57.9893574312886,"2005"
"102","kobieta","podstawowe i niższe","35-44 lata",63.6449959055528,"2005"
"103","kobieta","podstawowe i niższe","45-59 lat",224.194541972967,"2005"
"104","kobieta","podstawowe i niższe","60-64 lata",92.1134640173001,"2005"
"105","kobieta","podstawowe i niższe","65+ lat",561.847381489083,"2005"
"106","kobieta","zasadnicze zawodowe/gimanzjum","25-34 lata",198.232708607183,"2005"
"107","kobieta","zasadnicze zawodowe/gimanzjum","35-44 lata",221.31523111546,"2005"
"108","kobieta","zasadnicze zawodowe/gimanzjum","45-59 lat",310.691271618155,"2005"
"109","kobieta","zasadnicze zawodowe/gimanzjum","60-64 lata",25.557441665665,"2005"
"110","kobieta","zasadnicze zawodowe/gimanzjum","65+ lat",54.943384908876,"2005"
"111","kobieta","średnie","25-34 lata",218.092339753118,"2005"
"112","kobieta","średnie","35-44 lata",252.387673854244,"2005"
"113","kobieta","średnie","45-59 lat",471.955606668,"2005"
"114","kobieta","średnie","60-64 lata",71.7528563049161,"2005"
"115","kobieta","średnie","65+ lat",172.661392755775,"2005"
"116","kobieta","wyższe i policealne","25-34 lata",325.552146261959,"2005"
"117","kobieta","wyższe i policealne","35-44 lata",165.705008914226,"2005"
"118","kobieta","wyższe i policealne","45-59 lat",235.268073072003,"2005"
"119","kobieta","wyższe i policealne","60-64 lata",35.6948220897115,"2005"
"120","kobieta","wyższe i policealne","65+ lat",74.3345056499501,"2005"
"121","mężczyzna","podstawowe i niższe","25-34 lata",83.6055345762,"2007"
"122","mężczyzna","podstawowe i niższe","35-44 lata",82.20815667792,"2007"
"123","mężczyzna","podstawowe i niższe","45-59 lat",207.541518356943,"2007"
"124","mężczyzna","podstawowe i niższe","60-64 lata",66.3606699858432,"2007"
"125","mężczyzna","podstawowe i niższe","65+ lat",347.42559980792,"2007"
"126","mężczyzna","zasadnicze zawodowe/gimanzjum","25-34 lata",353.559947416776,"2007"
"127","mężczyzna","zasadnicze zawodowe/gimanzjum","35-44 lata",416.959205705176,"2007"
"128","mężczyzna","zasadnicze zawodowe/gimanzjum","45-59 lat",711.667902492477,"2007"
"129","mężczyzna","zasadnicze zawodowe/gimanzjum","60-64 lata",87.3704684248704,"2007"
"130","mężczyzna","zasadnicze zawodowe/gimanzjum","65+ lat",158.162825206,"2007"
"131","mężczyzna","średnie","25-34 lata",361.106814578853,"2007"
"132","mężczyzna","średnie","35-44 lata",257.791957043873,"2007"
"133","mężczyzna","średnie","45-59 lat",432.676283206959,"2007"
"134","mężczyzna","średnie","60-64 lata",59.0013030024,"2007"
"135","mężczyzna","średnie","65+ lat",172.99002626208,"2007"
"136","mężczyzna","wyższe i policealne","25-34 lata",317.80747339614,"2007"
"137","mężczyzna","wyższe i policealne","35-44 lata",158.69298563118,"2007"
"138","mężczyzna","wyższe i policealne","45-59 lat",217.09746401245,"2007"
"139","mężczyzna","wyższe i policealne","60-64 lata",40.4450666148672,"2007"
"140","mężczyzna","wyższe i policealne","65+ lat",116.88709280148,"2007"
"141","kobieta","podstawowe i niższe","25-34 lata",67.361096106,"2007"
"142","kobieta","podstawowe i niższe","35-44 lata",113.8332575827,"2007"
